location,tide,time,age,count
Crest,High,1455,Adult,28
Crest,High,1455,Adult,38
Crest,High,1455,Adult,46
Crest,High,1450,Adult,35
Crest,High,1450,Adult,31
Crest,High,1450,Adult,31
Flat,High,1550,Adult,38
Flat,High,1550,Adult,22
Flat,High,1550,Adult,32
Flat,High,1545,Adult,26
Flat,High,1545,Adult,31
Flat,High,1545,Adult,39
Slope,High,1355,Adult,25
Slope,High,1355,Adult,36
Slope,High,1355,Adult,12
Slope,High,1350,Adult,7
Slope,High,1350,Adult,22
Slope,High,1350,Adult,18
Crest,Low,905,Adult,56
Crest,Low,905,Adult,49
Crest,Low,905,Adult,74
Crest,Low,900,Adult,44
Crest,Low,900,Adult,67
Crest,Low,900,Adult,60
Flat,Low,1125,Adult,6
Flat,Low,1125,Adult,8
Flat,Low,1125,Adult,8
Flat,Low,1120,Adult,29
Flat,Low,1120,Adult,8
Flat,Low,1120,Adult,11
Slope,Low,1020,Adult,0
Slope,Low,1020,Adult,4
Slope,Low,1020,Adult,4
Slope,Low,1015,Adult,7
Slope,Low,1015,Adult,1
Slope,Low,1015,Adult,3
Crest,High,1455,Juvenile,18
Crest,High,1455,Juvenile,9
Crest,High,1455,Juvenile,16
Crest,High,1450,Juvenile,11
Crest,High,1450,Juvenile,8
Crest,High,1450,Juvenile,11
Flat,High,1550,Juvenile,25
Flat,High,1550,Juvenile,17
Flat,High,1550,Juvenile,21
Flat,High,1545,Juvenile,10
Flat,High,1545,Juvenile,8
Flat,High,1545,Juvenile,15
Slope,High,1355,Juvenile,6
Slope,High,1355,Juvenile,4
Slope,High,1355,Juvenile,2
Slope,High,1350,Juvenile,0
Slope,High,1350,Juvenile,4
Slope,High,1350,Juvenile,3
Crest,Low,905,Juvenile,7
Crest,Low,905,Juvenile,5
Crest,Low,905,Juvenile,7
Crest,Low,900,Juvenile,6
Crest,Low,900,Juvenile,4
Crest,Low,900,Juvenile,8
Flat,Low,1125,Juvenile,6
Flat,Low,1125,Juvenile,3
Flat,Low,1125,Juvenile,5
Flat,Low,1120,Juvenile,10
Flat,Low,1120,Juvenile,3
Flat,Low,1120,Juvenile,2
Slope,Low,1020,Juvenile,0
Slope,Low,1020,Juvenile,0
Slope,Low,1020,Juvenile,1
Slope,Low,1015,Juvenile,0
Slope,Low,1015,Juvenile,1
Slope,Low,1015,Juvenile,0
