no,age,location,biterate,tide,time,ampm 
25,Adult,Crest,55.00,High,1415,afternoon
26,Adult,Crest,58.00,High,1415,afternoon
27,Adult,Crest,36.67,High,1415,afternoon
28,Adult,Crest,54.33,High,1415,afternoon
82,Adult,Crest,77.33,High,1415,afternoon
83,Adult,Crest,43,High,1415,afternoon
84,Adult,Crest,29.67,High,1415,afternoon
85,Adult,Crest,48,High,1415,afternoon
86,Adult,Crest,40,High,1415,afternoon
33,Adult,Flat,43.00,High,1520,afternoon
34,Adult,Flat,32.33,High,1520,afternoon
35,Adult,Flat,18.00,High,1520,afternoon
36,Adult,Flat,23.67,High,1520,afternoon
72,Adult,Flat,31.67,High,1520,afternoon
73,Adult,Flat,35.33,High,1520,afternoon
74,Adult,Flat,15.33,High,1520,afternoon
75,Adult,Flat,40,High,1520,afternoon
76,Adult,Flat,25.33,High,1520,afternoon
37,Adult,Slope,59.33,High,1320,afternoon
38,Adult,Slope,51.67,High,1320,afternoon
39,Adult,Slope,13.00,High,1320,afternoon
40,Adult,Slope,27.00,High,1320,afternoon
88,Adult,Slope,41,High,1320,afternoon
89,Adult,Slope,38.67,High,1320,afternoon
90,Adult,Slope,22.67,High,1320,afternoon
91,Adult,Slope,46,High,1320,afternoon
92,Adult,Slope,54,High,1320,afternoon
5,Adult,Crest,58.33,Low,0838,morning
6,Adult,Crest,43.33,Low,0838,morning
7,Adult,Crest,72.67,Low,0838,morning
8,Adult,Crest,67.33,Low,0838,morning
56,Adult,Crest,72,Low,0825,morning
57,Adult,Crest,19.33,Low,0825,morning
58,Adult,Crest,30.33,Low,0825,morning
59,Adult,Crest,34.33,Low,0825,morning
60,Adult,Crest,55.67,Low,0825,morning
13,Adult,Flat,48.67,Low,1045,morning
14,Adult,Flat,51.33,Low,1045,morning
15,Adult,Flat,59.67,Low,1045,morning
16,Adult,Flat,47.00,Low,1045,morning
46,Adult,Flat,14.33,Low,1105,morning
47,Adult,Flat,49,Low,1105,morning
48,Adult,Flat,44,Low,1105,morning
49,Adult,Flat,31,Low,1105,morning
50,Adult,Flat,34.33,Low,1105,morning
17,Adult,Slope,32.67,Low,0937,morning
18,Adult,Slope,22.33,Low,0937,morning
19,Adult,Slope,35.67,Low,0937,morning
20,Adult,Slope,15.50,Low,0937,morning
62,Adult,Slope,12.33,Low,0940,morning
63,Adult,Slope,28,Low,0940,morning
64,Adult,Slope,28.67,Low,0940,morning
65,Adult,Slope,24.67,Low,0940,morning
66,Adult,Slope,16.33,Low,0940,morning
21,Juvenile,Crest,67.33,High,1415,afternoon
22,Juvenile,Crest,62.00,High,1415,afternoon
23,Juvenile,Crest,57.67,High,1415,afternoon
24,Juvenile,Crest,72.67,High,1415,afternoon
77,Juvenile,Crest,57,High,1415,afternoon
78,Juvenile,Crest,53,High,1415,afternoon
79,Juvenile,Crest,48.67,High,1415,afternoon
80,Juvenile,Crest,52,High,1415,afternoon
81,Juvenile,Crest,41,High,1415,afternoon
29,Juvenile,Flat,19.00,High,1520,afternoon
30,Juvenile,Flat,60.33,High,1520,afternoon
31,Juvenile,Flat,52.33,High,1520,afternoon
32,Juvenile,Flat,28.67,High,1520,afternoon
67,Juvenile,Flat,6,High,1520,afternoon
68,Juvenile,Flat,2.67,High,1520,afternoon
69,Juvenile,Flat,8.33,High,1520,afternoon
70,Juvenile,Flat,20.33,High,1520,afternoon
71,Juvenile,Flat,11,High,1520,afternoon
87,Juvenile,Slope,31,High,1320,afternoon
1,Juvenile,Crest,18.67,Low,0838,morning
2,Juvenile,Crest,28.33,Low,0838,morning
3,Juvenile,Crest,26.33,Low,0838,morning
4,Juvenile,Crest,34.67,Low,0838,morning
51,Juvenile,Crest,5.33,Low,0825,morning
52,Juvenile,Crest,2.33,Low,0825,morning
53,Juvenile,Crest,10.67,Low,0825,morning
54,Juvenile,Crest,24.67,Low,0825,morning
55,Juvenile,Crest,8.67,Low,0825,morning
9,Juvenile,Flat,0.00,Low,1045,morning
10,Juvenile,Flat,18.33,Low,1045,morning
11,Juvenile,Flat,10.33,Low,1045,morning
12,Juvenile,Flat,2.33,Low,1045,morning
41,Juvenile,Flat,0.67,Low,1045,morning
42,Juvenile,Flat,5.33,Low,1045,morning
43,Juvenile,Flat,17.67,Low,1045,morning
44,Juvenile,Flat,7,Low,1045,morning
45,Juvenile,Flat,16.67,Low,1045,morning
61,Juvenile,Slope,26.33,Low,0940,morning
